Starting Training
Epoch: 300/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 301/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 302/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 303/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 304/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 305/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 306/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 307/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 308/3000, Score: 24, Tetrominoes 26, Cleared lines: 0
Epoch: 309/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 310/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 311/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 312/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 313/3000, Score: 10, Tetrominoes 12, Cleared lines: 0
Epoch: 314/3000, Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 315/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 316/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 317/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 318/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 319/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 320/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 321/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 322/3000, Score: 10, Tetrominoes 12, Cleared lines: 0
Epoch: 323/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 324/3000, Score: 21, Tetrominoes 23, Cleared lines: 0
Epoch: 325/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 326/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 327/3000, Score: 26, Tetrominoes 18, Cleared lines: 1
Epoch: 328/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 329/3000, Score: 10, Tetrominoes 12, Cleared lines: 0
Epoch: 330/3000, Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 331/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 332/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 333/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 334/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 335/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 336/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 337/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 338/3000, Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 339/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 340/3000, Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 341/3000, Score: 12, Tetrominoes 14, Cleared lines: 0
Epoch: 342/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 343/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 344/3000, Score: 17, Tetrominoes 19, Cleared lines: 0
Epoch: 345/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 346/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
